state_name,state,fips,fed_cattle,lat,lon,region,contract_share
INDIANA,18,18027,1074,38.700874,-87.07843,8,0.409
INDIANA,18,18029,155,39.149479,-84.971947,8,0.409
INDIANA,18,18031,5244,39.307049,-85.501137,8,0.409
INDIANA,18,18033,9887,41.397984,-84.998947,8,0.409
INDIANA,18,18035,409,40.227776,-85.39727,8,0.409
INDIANA,18,18037,3473,38.365204,-86.882477,8,0.409
INDIANA,18,18039,2366,41.597683,-85.858742,8,0.409
INDIANA,18,18041,269,39.636848,-85.177979,8,0.409
INDIANA,18,18045,69,40.123646,-87.237434,8,0.409
INDIANA,18,18047,1552,39.414471,-85.060387,8,0.409
INDIANA,18,18049,5004,41.046982,-86.262459,8,0.409
INDIANA,18,18051,1585,38.311043,-87.577194,8,0.409
INDIANA,18,18053,215,40.515797,-85.654587,8,0.409
INDIANA,18,18055,515,39.036121,-86.962425,8,0.409
INDIANA,18,18059,169,39.822903,-85.771027,8,0.409
INDIANA,18,18061,874,38.196526,-86.112846,8,0.409
INDIANA,18,18063,124,39.766365,-86.510773,8,0.409
INDIANA,18,18065,3391,39.931248,-85.397163,8,0.409
INDIANA,18,18067,726.5384615,40.483482,-86.11808,8,0.409
INDIANA,18,18069,335,40.82909,-85.488205,8,0.409
INDIANA,18,18071,1699,38.909172,-86.040054,8,0.409
INDIANA,18,18073,3608,41.018841,-87.113472,8,0.409
INDIANA,18,18075,8444,40.43787,-85.005585,8,0.409
INDIANA,18,18077,369,38.784134,-85.437881,8,0.409
INDIANA,18,18079,749,38.99424,-85.626244,8,0.409
INDIANA,18,18081,423,39.490093,-86.101471,8,0.409
INDIANA,18,18083,517,38.695133,-87.421394,8,0.409
INDIANA,18,18085,4347,41.24543,-85.863068,8,0.409
INDIANA,18,18087,5582,41.642349,-85.426689,8,0.409
INDIANA,18,18089,726.5384615,41.415314,-87.382477,8,0.409
INDIANA,18,18091,2495,41.544086,-86.739723,8,0.409
INDIANA,18,18093,638,38.840431,-86.482407,8,0.409
INDIANA,18,18095,1395,40.161449,-85.719566,8,0.409
INDIANA,18,18099,3018,41.324631,-86.26178,8,0.409
INDIANA,18,18101,118,38.708408,-86.803215,8,0.409
INDIANA,18,18103,476,40.769428,-86.04525,8,0.409
INDIANA,18,18105,516,39.161179,-86.524101,8,0.409
INDIANA,18,18107,834,40.040337,-86.893127,8,0.409
INDIANA,18,18109,744,39.479458,-86.446678,8,0.409
INDIANA,18,18111,84,40.957085,-87.396149,8,0.409
INDIANA,18,18113,656,41.396729,-85.41954,8,0.409
INDIANA,18,18117,115,38.541039,-86.495102,8,0.409
INDIANA,18,18119,182,39.312565,-86.837601,8,0.409
INDIANA,18,18121,1603,39.772137,-87.203781,8,0.409
INDIANA,18,18123,591,38.078674,-86.634979,8,0.409
INDIANA,18,18125,72,38.402889,-87.234146,8,0.409
INDIANA,18,18127,726.5384615,41.458332,-87.067825,8,0.409
INDIANA,18,18129,726.5384615,38.024944,-87.864906,8,0.409
INDIANA,18,18131,178,41.041801,-86.698875,8,0.409
INDIANA,18,18133,72,39.665527,-86.847313,8,0.409
INDIANA,18,18135,1130,40.157372,-85.01133,8,0.409
INDIANA,18,18137,873,39.103115,-85.262497,8,0.409
INDIANA,18,18139,1416,39.620049,-85.465462,8,0.409
INDIANA,18,18141,177,41.617699,-86.29023,8,0.409
INDIANA,18,18143,174,38.685944,-85.749939,8,0.409
INDIANA,18,18145,329,39.523319,-85.791374,8,0.409
INDIANA,18,18147,545,38.014214,-87.00901,8,0.409
INDIANA,18,18149,726.5384615,41.27879,-86.647903,8,0.409
INDIANA,18,18151,726.5384615,41.643948,-85.001305,8,0.409
INDIANA,18,18153,286,39.093945,-87.412651,8,0.409
INDIANA,18,18155,726.5384615,38.828091,-85.027458,8,0.409
INDIANA,18,18157,1008,40.38871,-86.894073,8,0.409
INDIANA,18,18159,726.5384615,40.311108,-86.052185,8,0.409
INDIANA,18,18161,90,39.622372,-84.923546,8,0.409
INDIANA,18,18165,726.5384615,39.859638,-87.460991,8,0.409
INDIANA,18,18167,39,39.428516,-87.393105,8,0.409
INDIANA,18,18169,350,40.84586,-85.794167,8,0.409
INDIANA,18,18171,726.5384615,40.347195,-87.354424,8,0.409
INDIANA,18,18173,459,38.095249,-87.272598,8,0.409
INDIANA,18,18175,448,38.599316,-86.105194,8,0.409
INDIANA,18,18177,686,39.861767,-85.012474,8,0.409
INDIANA,18,18179,475,40.729118,-85.221375,8,0.409
INDIANA,18,18181,726.5384615,40.747105,-86.86319,8,0.409
INDIANA,18,18183,1506,41.137486,-85.509453,8,0.409
IOWA,19,19001,5163,41.330757,-94.471062,5,0.372
IOWA,19,19003,8794,41.029011,-94.69931,5,0.372
IOWA,19,19005,15102,43.284348,-91.376526,5,0.372
IOWA,19,19007,348,40.74324,-92.868614,5,0.372
IOWA,19,19009,22053,41.686474,-94.909149,5,0.372
IOWA,19,19011,9783,42.080116,-92.064636,5,0.372
IOWA,19,19013,9893,42.470165,-92.309982,5,0.372
IOWA,19,19015,6275,42.036617,-93.931396,5,0.372
IOWA,19,19017,3738,42.774616,-92.317963,5,0.372
IOWA,19,19019,11421,42.470901,-91.837341,5,0.372
IOWA,19,19021,15325,42.735458,-95.151001,5,0.372
IOWA,19,19023,4130,42.731739,-92.790176,5,0.372
IOWA,19,19025,14147,42.386589,-94.637947,5,0.372
IOWA,19,19027,66999,42.03619,-94.860344,5,0.372
IOWA,19,19029,22572,41.331459,-94.92791,5,0.372
IOWA,19,19031,4268,41.772339,-91.132469,5,0.372
IOWA,19,19033,6443,43.081776,-93.261223,5,0.372
IOWA,19,19035,34502,42.735382,-95.623901,5,0.372
IOWA,19,19037,25206,43.060013,-92.317734,5,0.372
IOWA,19,19039,3908,41.028683,-93.784996,5,0.372
IOWA,19,19041,20496,43.08247,-95.150963,5,0.372
IOWA,19,19043,27663,42.844513,-91.342331,5,0.372
IOWA,19,19045,32310,41.902172,-90.528458,5,0.372
IOWA,19,19047,15567,42.037182,-95.381973,5,0.372
IOWA,19,19049,22590,41.684296,-94.043655,5,0.372
IOWA,19,19051,6669.75,40.747757,-92.410042,5,0.372
IOWA,19,19053,11453,40.737381,-93.786446,5,0.372
IOWA,19,19055,68766,42.471046,-91.366447,5,0.372
IOWA,19,19057,589,40.920876,-91.181923,5,0.372
IOWA,19,19059,17882,43.377811,-95.151039,5,0.372
IOWA,19,19061,76107,42.4687,-90.880882,5,0.372
IOWA,19,19063,2360,43.377831,-94.678665,5,0.372
IOWA,19,19065,22610,42.862717,-91.844124,5,0.372
IOWA,19,19067,10819,43.060005,-92.789398,5,0.372
IOWA,19,19069,4679,42.732704,-93.262566,5,0.372
IOWA,19,19071,6669.75,40.74588,-95.605568,5,0.372
IOWA,19,19073,15033,42.036144,-94.396584,5,0.372
IOWA,19,19075,6946,42.401356,-92.791344,5,0.372
IOWA,19,19077,6669.75,41.683647,-94.50666,5,0.372
IOWA,19,19079,6669.75,42.383881,-93.70195,5,0.372
IOWA,19,19081,7611,43.081783,-93.73455,5,0.372
IOWA,19,19083,6134,42.383537,-93.236549,5,0.372
IOWA,19,19085,2986,41.682419,-95.81723,5,0.372
IOWA,19,19087,5724,40.98761,-91.544342,5,0.372
IOWA,19,19089,17043,43.356686,-92.317032,5,0.372
IOWA,19,19091,4295,42.776443,-94.207222,5,0.372
IOWA,19,19093,17912,42.386963,-95.513557,5,0.372
IOWA,19,19095,12136,41.686302,-92.064339,5,0.372
IOWA,19,19097,47446,42.171726,-90.573311,5,0.372
IOWA,19,19099,10705,41.685574,-93.053741,5,0.372
IOWA,19,19101,3636,41.031654,-91.948624,5,0.372
IOWA,19,19103,8666,41.671532,-91.587471,5,0.372
IOWA,19,19105,33748,42.121185,-91.131393,5,0.372
IOWA,19,19107,3388,41.336498,-92.178505,5,0.372
IOWA,19,19109,15199,43.204121,-94.206924,5,0.372
IOWA,19,19111,2138,40.638466,-91.480591,5,0.372
IOWA,19,19113,8322,42.079231,-91.598091,5,0.372
IOWA,19,19115,558,41.217846,-91.260612,5,0.372
IOWA,19,19117,1864,41.029594,-93.327835,5,0.372
IOWA,19,19119,85728,43.380943,-96.210411,5,0.372
IOWA,19,19121,2999,41.330818,-94.015549,5,0.372
IOWA,19,19123,14445,41.335217,-92.640839,5,0.372
IOWA,19,19125,1981,41.33445,-93.09935,5,0.372
IOWA,19,19127,7051,42.03587,-92.999084,5,0.372
IOWA,19,19129,93,41.032879,-95.617729,5,0.372
IOWA,19,19131,44979,43.356392,-92.788879,5,0.372
IOWA,19,19133,2323,42.053215,-95.960442,5,0.372
IOWA,19,19135,3497,41.029881,-92.869095,5,0.372
IOWA,19,19137,8822,41.030178,-95.156433,5,0.372
IOWA,19,19139,13273,41.48468,-91.115036,5,0.372
IOWA,19,19141,26688,43.083107,-95.624748,5,0.372
IOWA,19,19143,38356,43.37817,-95.624237,5,0.372
IOWA,19,19145,7168,40.7393,-95.150047,5,0.372
IOWA,19,19147,17792,43.081951,-94.678291,5,0.372
IOWA,19,19149,55406,42.737423,-96.213737,5,0.372
IOWA,19,19151,7880,42.7342,-94.678627,5,0.372
IOWA,19,19153,1720,41.685356,-93.577141,5,0.372
IOWA,19,19155,34280,41.335625,-95.542793,5,0.372
IOWA,19,19157,3581,41.686497,-92.529617,5,0.372
IOWA,19,19159,6372,40.735149,-94.243675,5,0.372
IOWA,19,19161,45901,42.386242,-95.105484,5,0.372
IOWA,19,19163,8740,41.640778,-90.624588,5,0.372
IOWA,19,19165,16964,41.685005,-95.310158,5,0.372
IOWA,19,19167,344902,43.082848,-96.176231,5,0.372
IOWA,19,19169,10953,42.036213,-93.464989,5,0.372
IOWA,19,19171,14653,42.079918,-92.532669,5,0.372
IOWA,19,19173,4600,40.737022,-94.69593,5,0.372
